name,ring,quadrant,isNew,description
"Lazarus Group (APT38, Hidden Cobra)","Asia","My-Industry","TRUE","2026-05-03 | APAC Regional Bank | SWIFT Fraud Campaign | Financial transfer fraud attempts detected with partial containment | Threat Intel Aggregation (May 2026)"
"FIN7","ROTW","My-Industry","TRUE","2026-05-06 | Global Investment Firm | Credential Theft via Phishing | Compromised employee credentials leading to fraud attempt | Threat Intel Aggregation (May 2026)"
"Scattered Spider (UNC3944, Octo Tempest)","ROTW","My-Suppliers","TRUE","2026-05-08 | Microsoft Cloud Tenant Customers | Social Engineering / MFA Fatigue | Account takeover attempts impacting enterprise SaaS access | Threat Intel Aggregation (May 2026)"
"APT29 (Cozy Bear)","ROTW","CIIs","TRUE","2026-05-02 | Financial Regulatory Infrastructure | Spearphishing & OAuth Abuse | Attempted persistent access to regulatory email systems | Threat Intel Aggregation (May 2026)"
"APT41 (Barium, Wicked Panda)","Asia","CIIs","TRUE","2026-05-10 | Regional Telecom Provider | Supply Chain Intrusion | Malicious update injection attempt in managed services environment | Threat Intel Aggregation (May 2026)"
"LockBit","ROTW","My-Industry","TRUE","2026-05-04 | Retail Bank Backoffice Systems | Ransomware Deployment Attempt | Partial encryption of non-production systems, contained early | Threat Intel Aggregation (May 2026)"
"Akira","ROTW","My-Industry","TRUE","2026-05-07 | Insurance Provider | VPN Credential Exploitation | Encrypted file shares and business downtime | Threat Intel Aggregation (May 2026)"
"Volt Typhoon","Singapore","CIIs","TRUE","2026-05-09 | Energy Sector Operational Network | Living-off-the-land persistence | Attempted long-term stealth access to OT-adjacent systems | Threat Intel Aggregation (May 2026)"
"Salt Typhoon","Asia","CIIs","TRUE","2026-05-11 | Telecommunications Backbone Provider | Network Infrastructure Reconnaissance | Mapping of core routing infrastructure detected | Threat Intel Aggregation (May 2026)"
"Play Ransomware","ROTW","All Others","TRUE","2026-05-05 | Legal Services Firm | Data Exfiltration + Ransomware | Sensitive client data staged for extortion | Threat Intel Aggregation (May 2026)"
"RansomHub","ROTW","My-Industry","TRUE","2026-05-12 | Regional FinTech Platform | Double Extortion Ransomware | Data theft and service disruption risk | Threat Intel Aggregation (May 2026)"
"TA505","Asia","My-Industry","TRUE","2026-05-01 | Southeast Asia Bank | Email-Based Malware Delivery | Banking trojan distribution via phishing campaigns | Threat Intel Aggregation (May 2026)"
"UNC2165","ROTW","My-Suppliers","TRUE","2026-05-06 | Oracle Cloud Tenant | Exploitation of exposed services | Unauthorized access attempts to cloud resources | Threat Intel Aggregation (May 2026)"
"Cl0p","ROTW","My-Suppliers","TRUE","2026-05-08 | Enterprise Software Ecosystem (Microsoft-integrated environments) | File Transfer Exploitation | Mass data theft campaign targeting enterprise file exchange systems | Threat Intel Aggregation (May 2026)"
"DarkGate","Southeast Asia","My-Industry","TRUE","2026-05-03 | Singapore Retail Banking Subsidiary | Malware-as-a-Service Infection | Endpoint compromise via phishing attachment | Threat Intel Aggregation (May 2026)"
"BlackCat (ALPHV)","ROTW","My-Industry","TRUE","2026-05-09 | Banking Shared Services Provider | Ransomware + Extortion | Service disruption and data leak threat | Threat Intel Aggregation (May 2026)"
"Storm-0501","Singapore","CIIs","TRUE","2026-05-10 | Government Digital Services | Credential Harvesting Campaign | Attempted lateral movement into citizen-facing systems | Threat Intel Aggregation (May 2026)"
"SideWinder","Asia","CIIs","TRUE","2026-05-07 | Maritime Infrastructure Operator | Spearphishing Campaign | Targeted intelligence gathering on logistics operations | Threat Intel Aggregation (May 2026)"
